stop_id,stop_name,stop_desc,stop_lat,stop_lon
2295,PUETZ & MAYHEW #2295,,42.8864346,-87.9085494
9016,MOORLAND & GREENFIELD #9016,,43.0173312,-88.1068933
1550,S15 & MARION #1550,,42.9044834,-87.8718119
1454,PLANKINTON & PACKARD #1454,,42.9599709,-87.8607802
8528,NATIONAL & S88 #8528,,43.007288,-88.022807
7982,COLLEGE & PACKARD #7982,,42.9300405,-87.8603612
2533,HAMPTON & N68 #2533,,43.1049808,-87.9960438
3960,S27 & HARRISON #3960,,42.9979265,-87.9485252
5117,OKLAHOMA & S100 #5117,,42.9879784,-88.0380557
7717,SILVER SPRING & N35 #7717,,43.1189776,-87.9566617
7454,WATERFORD & BARLAND #7454,,42.9700063,-87.8695828
4434,WAUWATOSA & HARWOOD #4434,,43.0503634,-88.0072345
7174,MATC SOUTH CAMPUS #7174,,42.925347,-87.914747
1675,NATIONAL & S12 #1675,,43.0233377,-87.9265453
649,KK & WARD #649,,43.0046748,-87.9057759
5527,WALNUT & N6 #5527,,43.0526748,-87.9183108
6038,CAPITOL & N31 #6038,,43.0896979,-87.9523569
3903,HAMPTON & N22 #3903,,43.1045379,-87.9397422
1318,WATER & JUNEAU #1318,,43.0453675,-87.9109152
2150,S16 & FORESTHOME #2150,,43.0091816,-87.9330575
642,S1 & MINERAL #642,,43.0212642,-87.9113389
1764,NATIONAL & W4300 #1764,,43.0208359,-87.9679372
1908,S13 & WHITAKER #1908,,42.9656045,-87.9292479
4291,SHERMAN & FAIRMOUNT #4291,,43.1084257,-87.9666754
6290,S60 & OKLAHOMA #6290,,42.9882517,-87.9876407
1718,GREENFIELD & S101 #1718,,43.0165983,-88.0382076
4849,APPLETON & SHERIDAN #4849,,43.1183399,-88.0329195
6242,S60 & STONEHEDGE #6242,,42.9541476,-87.988724
2665,BLUEMOUND & PLEASANTVIEW #2665,,43.0361159,-88.0196077
5018,MORGAN & S48 #5018,,42.9810882,-87.9746657
4609,N35 & JUNEAU #4609,,43.0460359,-87.9577857
184,N91 & CUSTER #184,,43.1159593,-88.026055
5592,N92 & TOWNSEND #5592,,43.0808053,-88.027827
776,N12 & WELLS #776,,43.0400722,-87.9271753
6381,S84 & 3023 #6381,,42.989768,-88.0176754
5625,LISBON & N35 #5625,,43.0546268,-87.9578056
1269,CHICAGO & PARK #1269,,42.9249531,-87.8599936
181,N91 & SWAN #181,,43.1215166,-88.0260365
412,WISCONSIN & N16 #412,,43.0388361,-87.932695
6239,S60 & ARMOUR #6239,,42.9609559,-87.9886648
1671,NATIONAL & S6 #1671,,43.0232707,-87.9180748
4242,LISBON & N41 #4242,,43.0562957,-87.9645541
8476,N124 & TOWNSEND #8476,,43.0796555,-88.0663567
830,N43 & KIEHNAU #830,,43.1367878,-87.9657421
4933,BROWN DEER & N76 #4933,,43.1777734,-88.0050722
3721,NORTH & N76 #3721,,43.0608219,-88.007339
2062,CESAR CHAVEZ & SCOTT #2062,,43.0192806,-87.9331427
3935,N27 & VLIET #3935,,43.0487963,-87.9479973
5204,LINCOLN & ALLIS #5204,,43.0029811,-87.9038258
6989,S68 & KK RIVER PARK WAY #6989,,42.9906892,-87.9977522
1165,N60 & CARMEN #1165,,43.122756,-87.986176
6471,N76 & DENVER #6471,,43.143074,-88.0053627
2543,LAKE & SQUIRE #2543,,42.9581768,-87.8500771
5224,LINCOLN & S31 #5224,,43.0031584,-87.9528259
5129,OKLAHOMA & S63 #5129,,42.9883085,-87.9902259
3940,N27 & KILBOURN #3940,,43.0414724,-87.947544
335,S13 & HOWARD #335,,42.9741519,-87.9289775
6660,PORT WASHINGTON & DUNWOOD #6660,,43.1582823,-87.9126091
7212,S6 & LAPHAM #7212,,43.0139177,-87.9182659
7189,S6 & NORWICH #7189,,42.9718763,-87.9192059
4681,APPLETON & STARK #4681,,43.1077711,-88.0193288
4287,SHERMAN & CUSTER #4287,,43.1158169,-87.9665267
9914,S6 & SCOTT #9914,,43.0189722,-87.918321
4481,HUMBOLDT & AUER #4481,,43.0763779,-87.8975719
1867,MLK & MEINECKE #1867,,43.0622228,-87.9142066
4664,GRANGE & NORTHWAY #4664,,42.9446866,-88.0037764
5756,SHERMAN & DOUGLAS #5756,,43.12961,-87.9658538
4856,OCONNOR & N73 #4856,,43.0295879,-88.0033661
440,S70 & MAIN #440,,43.026206,-88.0000573
9110,N91 & DOGWOOD #9110,,43.1527835,-88.0251532
8364,COLLEGE & HOLLY #8364,,42.9298775,-87.8766669
1289,KK & BOTTSFORD #1289,,42.9647877,-87.8686545
8280,TEUTONIA & CLINTON #8280,,43.1511183,-87.9576812
2525,TOWN SQUARE  & DREXEL TOWN SQUARE WAY #2525,,42.9001861,-87.9161943
6113,CAPITOL & N96 #6113,,43.089766,-88.0325744
7159,S6 & BOLIVAR #7159,,42.9661764,-87.9195453
841,TEUTONIA & GREENTREE #841,,43.1413978,-87.9548169
1898,S13 & EUCLID #1898,,42.9866583,-87.9289356
5737,MLK & N8 #5737,,43.0863966,-87.9212115
5548,LISBON & N51 #5548,,43.0628938,-87.9773268
1751,GREENFIELD & S65 #1751,,43.0168026,-87.9930189
4029,S27 & OHIO #4029,,42.9848565,-87.9480586
91,GLENVIEW & WISC LUTH HIGH SCHOOL #91,,43.0345517,-88.0163136
2137,S20 & HOLT #2137,,42.9828239,-87.9385792
7402,RAMSEY & ROBERT #7402,,42.9373498,-87.8723436
4116,NORTH & N120 #4116,,43.060079,-88.0628139
474,WISCONSIN & N38 #474,,43.0388665,-87.9614263
2121,S20 & EDGERTON #2121,,42.9517976,-87.938966
8001,CLEMENT & NORWICH #8001,,42.9720362,-87.8940873
7146,S6 & DAKOTA #7146,,42.9920863,-87.9191282
7552,N87 & BRADLEY #7552,,43.1634502,-88.0183027
6024,HOWELL & COLLEGE #6024,,42.9303116,-87.9101568
4058,N27 & VLIET #4058,,43.048471,-87.9476115
2953,HOWARD & IOWA #2953,,42.9737693,-87.8849547
6085,CAPITOL & SHERMAN #6085,,43.0899224,-87.9668604
6915,N68 & HILLSIDE #6915,,43.0434987,-87.9973626
6947,N60 & MILL #6947,,43.1336666,-87.9859249
7549,DEAN & FAULKNER #7549,,43.1705127,-88.0215118
6715,STATE & 4420 #6715,,43.042527,-87.9701238
6851,N68 & TERRACE #6851,,43.0432573,-87.9975277
5488,LAYTON & S10 #5488,,42.9591369,-87.9249675
4106,MAYFAIR & AUER #4106,,43.0771273,-88.048013
6069,CAPITOL & GREENBAY #6069,,43.0894676,-87.9225487
7209,S6 & ROGERS #7209,,43.0081779,-87.9185211
5338,N73W13583 APPLETON #5338,,43.1522933,-88.0803422
2514,N87 & WATERTOWNPLK #2514,,43.045741,-88.0205241
5081,OKLAHOMA & S37 #5081,,42.988506,-87.9603558
7164,EDGERTON & 315 #7164,,42.9518872,-87.915917
